player_id,max_market_value,player_name,age,position,minutes_played,goals,assists,yellow_cards,red_cards,club_name,domestic_competition_id,image_url,cluster,cluster_name
624051,325000.0,Stathis Tachatos,22.0,Defender,465,0,0,4,0,Volou Neos Podosferikos Syllogos,GR1,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,Def_1,Young Defenders
624243,450000.0,Aaron Donnelly,21.0,Defender,1356,0,2,2,0,Dundee Football Club,SC1,https://img.a.transfermarkt.technology/portrait/header/624243-1712328561.jpg?lm=1,Def_1,Young Defenders
624258,10666666.666666666,Conor Bradley,20.0,Defender,1505,1,6,4,0,Liverpool Football Club,GB1,https://img.a.transfermarkt.technology/portrait/header/624258-1708933100.jpg?lm=1,Def_2,In there Prime
624266,1250000.0,Ross Mccausland,21.0,Attack,1602,2,3,0,0,Rangers Football Club,SC1,https://img.a.transfermarkt.technology/portrait/header/624266-1699604822.jpg?lm=1,Att_1,Promising Prospects
624340,600000.0,Matvey Lukin,20.0,Defender,665,0,0,2,0,Pfk Cska Moskva,RU1,https://img.a.transfermarkt.technology/portrait/header/624340-1703513332.png?lm=1,Def_1,Young Defenders
624690,26666666.666666668,Manu Koné,23.0,Midfield,1717,2,2,4,1,Borussia Verein Für Leibesübungen 1900 Mönchengladbach,L1,https://img.a.transfermarkt.technology/portrait/header/624690-1691248968.jpg?lm=1,Mid_1,Reliable Engines
624698,87500.0,Pim Saathof,20.0,Defender,49,0,0,0,0,Go Ahead Eagles,NL1,https://img.a.transfermarkt.technology/portrait/header/624698-1723035108.jpg?lm=1,Def_1,Young Defenders
624751,487500.0,Lyall Cameron,21.0,Midfield,1974,5,0,1,0,Dundee Football Club,SC1,https://img.a.transfermarkt.technology/portrait/header/624751-1626169767.jpg?lm=1,Mid_1,Reliable Engines
624883,50000.0,Amilcar Djau Codjovi,22.0,Attack,11,0,0,0,0,Vorskla Poltava,UKR1,https://img.a.transfermarkt.technology/portrait/header/624883-1641744021.png?lm=1,Att_1,Promising Prospects
624913,1866666.6666666667,Parfait Guiagon,23.0,Attack,1375,5,2,0,0,Royal Charleroi Sporting Club,BE1,https://img.a.transfermarkt.technology/portrait/header/624913-1653328365.png?lm=1,Att_0,Breakthrough Ballers
624920,1200000.0,Béni Makouana,21.0,Attack,1575,4,3,2,0,Fk Polissya Zhytomyr,UKR1,https://img.a.transfermarkt.technology/portrait/header/624920-1741542244.png?lm=1,Att_0,Breakthrough Ballers
625014,5000000.0,Julen Agirrezabala,23.0,Goalkeeper,1016,0,0,0,0,Athletic Club Bilbao,ES1,https://img.a.transfermarkt.technology/portrait/header/625014-1709674945.png?lm=1,,
